POLYGON_ID,ADM0_ISO3,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,ADM3_CODE,CST_NAME,CST_CODE,HEX05_CODE,HEX05_X,HEX05_Y,PRIO_CODE,PRIO_COL,PRIO_ROW,PRIO_X,PRIO_Y,GEOSET,GEOSET_YEAR,GEOSET_VERSION,GEOSET_UNIT,CENTROID_LONG,CENTROID_LAT,YEAR,GHS_VERSION,GHS_POP_COUNT,GHS_POP_KM2,GHS_POP_COUNT_LI,GHS_POP_KM2_LI,GHS_POP_COUNT_MR,GHS_POP_KM2_MR
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1981,GHS_P2019,,,262619.64801666,378.5259924048,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1981,GHS_P2019,,,53345.082096307,534.0209390041,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1981,GHS_P2019,,,262115.8869917,919.3112205315,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1981,GHS_P2019,,,171487.05602496,25667.233281438,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1981,GHS_P2019,,,172113.46793026,721.4703748208,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1981,GHS_P2019,,,80079.872099374,5651.9014462306,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1981,GHS_P2019,,,97262.656201322,15620.613945136,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1981,GHS_P2019,,,353119.35528908,1132.0908877276,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1981,GHS_P2019,,,55735.826206508,12527.628037666,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1981,GHS_P2019,,,245183.72994397,957.3262007476,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1982,GHS_P2019,,,173104.59203581,812.2976238198,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1982,GHS_P2019,,,270788.42340883,390.3000307722,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1982,GHS_P2019,,,54959.059650238,550.177963702,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1982,GHS_P2019,,,270155.14688708,947.5070766138,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1982,GHS_P2019,,,174054.89961241,25976.153576624,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1982,GHS_P2019,,,176768.37332975,740.9829462875,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1982,GHS_P2019,,,82658.984364675,5833.9308121623,66629.189768843,4702.5751183349
